Country,Plant Name,Latitude,Longitude,Location Accuracy,Plant Type,Within_60_Miles
United States,Meredosia power station,39.823269,-90.5672,exact,Coal,False
United States,Meredosia power station,39.823269,-90.5672,exact,Coal,False
United States,Merom Generating Station,39.069706,-87.511392,exact,Coal,False
United States,Merom Generating Station,39.069706,-87.511392,exact,Coal,False
United States,Merrimack Station,43.141094,-71.467511,exact,Coal,False
United States,Merrimack Station,43.141094,-71.467511,exact,Coal,False
United States,Mesaba Energy Project,47.462071,-93.737522,approximate,Coal,False
United States,Milton Kapp Generating Station,41.807647,-90.234103,exact,Coal,False
United States,Milton R. Young Station,47.066106,-101.214564,exact,Coal,False
United States,Milton R. Young Station,47.066106,-101.214564,exact,Coal,False
United States,Mitchell Plant,39.838189,-80.818103,exact,Coal,False
United States,Mitchell Plant,39.838189,-80.818103,exact,Coal,False
United States,Mitchell Steam Generating Plant (Georgia),31.444664,-84.134044,exact,Coal,False
United States,Mobile Energy Power Plant,30.738522,-88.048888,exact,Coal,False
United States,Mobile Energy Power Plant,30.738522,-88.048888,exact,Coal,False
United States,Mohave (NV) power station,35.144284,-114.593273,exact,Coal,False
United States,Mohave (NV) power station,35.144284,-114.593273,exact,Coal,False
United States,Monticello Steam Station,33.091481,-95.037808,exact,Coal,False
United States,Monticello Steam Station,33.091481,-95.037808,exact,Coal,False
United States,Monticello Steam Station,33.091481,-95.037808,exact,Coal,False
United States,Montrose Station,38.310833,-93.934433,exact,Coal,False
United States,Montrose Station,38.310833,-93.934433,exact,Coal,False
United States,Montrose Station,38.310833,-93.934433,exact,Coal,False
United States,Morrow Generating Plant,31.217756,-89.393972,exact,Coal,False
United States,Morrow Generating Plant,31.217756,-89.393972,exact,Coal,False
United States,Mount Storm power station,39.200531,-79.264722,exact,Coal,False
United States,Mount Storm power station,39.200531,-79.264722,exact,Coal,False
United States,Mount Storm power station,39.200531,-79.264722,exact,Coal,False
United States,Mountaineer Plant,38.973614,-81.929753,exact,Coal,False
United States,Muscatine Generating Station,41.389303,-91.0578,exact,Coal,False
United States,Muscatine Generating Station,41.389303,-91.0578,exact,Coal,False
United States,Muskingum River Plant,39.5896,-81.683014,exact,Coal,False
United States,Muskingum River Plant,39.5896,-81.683014,exact,Coal,False
United States,Muskingum River Plant,39.5896,-81.683014,exact,Coal,False
United States,Muskingum River Plant,39.5896,-81.683014,exact,Coal,False
United States,Muskingum River Plant,39.5896,-81.683014,exact,Coal,False
United States,Naughton Power Plant,41.758886,-110.597031,exact,Coal,False
United States,Naughton Power Plant,41.758886,-110.597031,exact,Coal,False
United States,Naughton Power Plant,41.758886,-110.597031,exact,Coal,False
United States,Navajo Generating Station,36.90405,-111.388817,exact,Coal,False
United States,Navajo Generating Station,36.90405,-111.388817,exact,Coal,False
United States,Navajo Generating Station,36.90405,-111.388817,exact,Coal,False
United States,Neil Simpson Power Plants,44.287911,-105.383969,exact,Coal,False
United States,Nelson Dewey Generating Station,42.722433,-91.008922,exact,Coal,False
United States,Nelson Dewey Generating Station,42.722433,-91.008922,exact,Coal,False
United States,New Madrid Power Plant,36.51475,-89.561761,exact,Coal,False
United States,New Madrid Power Plant,36.51475,-89.561761,exact,Coal,False
United States,NewPage Luke Mill Power Plant,39.472649,-79.056696,exact,Coal,False
United States,NewPage Luke Mill Power Plant,39.472649,-79.056696,exact,Coal,False
United States,Newton power station,38.93645,-88.277008,exact,Coal,False
United States,Newton power station,38.93645,-88.277008,exact,Coal,False
United States,North Branch Station,39.261602,-79.331152,exact,Coal,False
United States,North Valmy Station,40.881736,-117.152272,exact,Coal,False
United States,North Valmy Station,40.881736,-117.152272,exact,Coal,False
